idx,y,year,month_of_year,IS_WEEKEND(month),MONTH(month),WEEKDAY(month)
443,27.6,2018,12,True,12,5
444,28.0,2019,1,False,1,1
445,28.2,2019,2,False,2,4
446,28.7,2019,3,False,3,4
447,28.6,2019,4,False,4,0
448,29.3,2019,5,False,5,2
449,28.4,2019,6,True,6,5
450,29.0,2019,7,False,7,0
451,29.1,2019,8,False,8,3
452,29.0,2019,9,True,9,6
453,28.1,2019,10,False,10,1
454,28.0,2019,11,False,11,4
455,26.7,2019,12,True,12,6
456,27.7,2020,1,False,1,2
457,27.9,2020,2,True,2,5
458,28.6,2020,3,True,3,6
459,28.9,2020,4,False,4,2
460,28.9,2020,5,False,5,4
461,28.1,2020,6,False,6,0
