start_idx,end_idx,start_month,dtw_to_mean,dtw_to_median,dtw_to_prev
232,243,2001-05-01,3.4524668175464526,3.4291952363926126,1.3849765954482405
233,244,2001-06-01,3.448451918400261,3.4237715110599156,0.7258994918065949
234,245,2001-07-01,3.442355598938873,3.4219880230644173,0.5494521509604385
235,246,2001-08-01,3.436945179941775,3.423814251101577,0.7269657175089838
236,247,2001-09-01,3.4338558517363893,3.437934305130007,0.23527172683002584
237,248,2001-10-01,3.444875466574679,3.4885654720003467,0.8157636519612262
238,249,2001-11-01,3.417279415562286,3.457516029052556,1.0454029628673087
239,250,2001-12-01,3.427556106111549,3.4582670700891787,1.9715164781712289
240,251,2002-01-01,3.443494033814781,3.4709593514327026,0.6117988463038173
241,252,2002-02-01,3.4669172333670915,3.476023192538647,0.8591177267509871
242,253,2002-03-01,3.4787923770617524,3.468901505966605,1.4697729985855308
243,254,2002-04-01,3.459337031712692,3.4199017048287863,1.5284008593198073
244,255,2002-05-01,3.4657851985313686,3.4312822285735765,0.6478882500654246
245,256,2002-06-01,3.4508116255408288,3.426927137023548,1.8069092823514739
246,257,2002-07-01,3.442444907003257,3.423101964071476,0.6531359988343383
247,258,2002-08-01,3.444906285000233,3.4271173895116878,1.0585605948433443
248,259,2002-09-01,3.4383453775713537,3.4355662092497505,0.5492258002462409
249,260,2002-10-01,3.427934509839758,3.4912925314469474,1.1806284952123607
250,261,2002-11-01,3.435152694883262,3.486558375621525,1.7469805929432722
251,262,2002-12-01,3.454870890527636,3.495817678689357,0.7076311192965782
252,263,2003-01-01,3.459107178038074,3.4878615240151154,0.8559122439739009
253,264,2003-02-01,3.4629387839874766,3.4716481910146073,0.6595771806611264
254,265,2003-03-01,3.4618576126847107,3.445908520168006,1.5345069440084578
255,266,2003-04-01,3.4555095719023248,3.429804999942616,0.32315399473755857
256,267,2003-05-01,3.464391158454824,3.4389198962240055,2.099993741715425
257,268,2003-06-01,3.4569491328551885,3.443416419660222,0.3398564132126263
258,269,2003-07-01,3.450395850116653,3.43844320877777,1.0705099518200376
259,270,2003-08-01,3.437061734363918,3.491809163435601,2.1296673212801096
260,271,2003-09-01,3.42289025846408,3.506462373798799,1.4794762914694077
261,272,2003-10-01,3.425366719958053,3.474960063300213,0.6587056080790749
262,273,2003-11-01,3.424857766418854,3.4700375488402817,0.6629741836739614
263,274,2003-12-01,3.4346473222882694,3.4647641713086323,1.0585833731954288
264,275,2004-01-01,3.455208651215973,3.4733016944978754,0.881961792824293
265,276,2004-02-01,3.468530144271182,3.469434842285467,1.0331597199647065
266,277,2004-03-01,3.461899537158728,3.4437158591003323,2.380833739200386
267,278,2004-04-01,3.4640455637575855,3.4453640115477677,1.450319498511898
268,279,2004-05-01,3.460166802531321,3.452149042135083,0.31112364060697545
269,280,2004-06-01,3.4541181715655775,3.4693431434566007,0.3519021514685012
270,281,2004-07-01,3.4339521324898383,3.459822450391558,2.322694369877266
271,282,2004-08-01,3.4534244569769545,3.4864231191716235,1.788348701455833
